jour;nomReg;numReg;incid_rea
19/03/2020;Auvergne-Rhône-Alpes;84;44
19/03/2020;Bourgogne-Franche-Comté;27;33
19/03/2020;Bretagne;53;8
19/03/2020;Centre-Val de Loire;24;6
19/03/2020;Corse;94;11
19/03/2020;Grand-Est;44;69
19/03/2020;Guadeloupe;1;0
19/03/2020;Guyane;3;0
19/03/2020;Hauts-de-France;32;37
19/03/2020;Ile-de-France;11;151
19/03/2020;La Réunion;4;0
19/03/2020;Martinique;2;0
19/03/2020;Mayotte;6;0
19/03/2020;Normandie;28;7
19/03/2020;Nouvelle-Aquitaine;75;7
19/03/2020;Occitanie;76;29
19/03/2020;Pays de la Loire;52;11
19/03/2020;Provence-Alpes-Côte d'Azur;93;25
20/03/2020;Auvergne-Rhône-Alpes;84;16
20/03/2020;Bourgogne-Franche-Comté;27;9
20/03/2020;Bretagne;53;2
20/03/2020;Centre-Val de Loire;24;4
20/03/2020;Corse;94;0
20/03/2020;Grand-Est;44;45
20/03/2020;Guadeloupe;1;0
20/03/2020;Guyane;3;0
20/03/2020;Hauts-de-France;32;35
20/03/2020;Ile-de-France;11;89
20/03/2020;La Réunion;4;0
20/03/2020;Martinique;2;0
20/03/2020;Mayotte;6;0
20/03/2020;Normandie;28;3
20/03/2020;Nouvelle-Aquitaine;75;6
20/03/2020;Occitanie;76;19
20/03/2020;Pays de la Loire;52;3
20/03/2020;Provence-Alpes-Côte d'Azur;93;11
21/03/2020;Auvergne-Rhône-Alpes;84;15
21/03/2020;Bourgogne-Franche-Comté;27;11
21/03/2020;Bretagne;53;9
21/03/2020;Centre-Val de Loire;24;3
21/03/2020;Corse;94;0
21/03/2020;Grand-Est;44;65
21/03/2020;Guadeloupe;1;0
21/03/2020;Guyane;3;0
21/03/2020;Hauts-de-France;32;28
21/03/2020;Ile-de-France;11;104
21/03/2020;La Réunion;4;0
21/03/2020;Martinique;2;0
21/03/2020;Mayotte;6;0
21/03/2020;Normandie;28;9
